740	,durham
741	,gentry
743	,sloan
744	,rocha
746	,herman
747	,sexton
748	,moon
75	,wood
750	,rangel
751	,stark
752	,lowery
753	,hardin
754	,hull
759	,mora
76	,watson
760	,knapp
761	,mccall
762	,morse
763	,dorsey
764	,weeks
768	,mclean
77	,brooks
770	,glass
774	,frost
775	,howe
776	,house
780	,reilly
781	,hebert
784	,noble
785	,spears
786	,conrad
787	,arias
788	,galvan
79	,gray
790	,huynh
793	,cantu
796	,peck
797	,villa
8	,garcia
80	,james
801	,walls
802	,boyle
803	,mayer
804	,zuniga
805	,giles
806	,pineda
807	,pace
808	,hurley
809	,mays
81	,reyes
811	,crosby
812	,ayers
813	,case
817	,pugh
818	,david
82	,cruz
820	,dunlap
821	,bender
822	,hahn
827	,duffy
828	,landry
83	,hughes
831	,shah
832	,potts
833	,arroyo
835	,meza
836	,gould
838	,fry
839	,rush
84	,price
840	,avery
842	,dodson
845	,tapia
846	,bean
847	,lynn
848	,crane
849	,farley
85	,myers
851	,benton
852	,ashley
853	,mckay
854	,finley
855	,best
858	,moses
859	,sosa
86	,long
861	,huber
862	,frye
866	,rubio
867	,mullen
869	,haley
87	,foster
870	,chung
871	,moyer
872	,choi
873	,horne
876	,ali
877	,nixon
878	,hayden
879	,rivers
880	,estes
883	,stuart
885	,brandt
887	,hanna
89	,ross
890	,church
891	,burch
892	,levy
894	,coffey
895	,ponce
899	,novak
900	,costa
901	,montes
902	,booker
904	,waller
906	,maddox
907	,mata
91	,powell
912	,dudley
916	,mccann
919	,hester
922	,cherry
923	,bray
924	,davila
926	,madden
926	,levine
928	,spence
929	,good
930	,irwin
931	,werner
932	,krause
933	,petty
935	,baird
936	,hooper
938	,zavala
939	,jarvis
94	,ortiz
940	,holden
941	,haas
944	,bird
945	,lucero
947	,riggs
948	,joyce
949	,mercer
952	,duke
953	,odom
955	,downs
958	,archer
959	,huerta
960	,travis
961	,mcneil
962	,hinton
963	,zhang
964	,hays
965	,mayo
966	,fritz
967	,branch
968	,mooney
969	,ewing
97	,perry
970	,ritter
972	,frey
973	,braun
974	,gay
975	,riddle
976	,haney
977	,kaiser
978	,holder
979	,chaney
98	,butler
981	,gamble
982	,vang
983	,cooley
984	,carney
985	,cowan
986	,forbes
988	,davies
99	,barnes
990	,shea
991	,osborn
992	,bright
993	,cuevas
994	,bolton
996	,lutz
997	,duarte
998	,kidd
999	,key
